MMHT2014nlo68cl	1.00 GeV^2
x  xs-  delta_xs-
2.421029E-03  -3.777097E-03  2.960142E-03
2.443431E-03  -3.780666E-03  2.961266E-03
2.466039E-03  -3.784209E-03  2.962359E-03
2.488857E-03  -3.787725E-03  2.963421E-03
2.511886E-03  -3.791213E-03  2.964451E-03
2.535129E-03  -3.794671E-03  2.965447E-03
2.558586E-03  -3.798099E-03  2.966409E-03
2.582260E-03  -3.801496E-03  2.967335E-03
2.606154E-03  -3.804860E-03  2.968225E-03
2.630268E-03  -3.808191E-03  2.969078E-03
2.654606E-03  -3.811487E-03  2.969893E-03
2.679168E-03  -3.814748E-03  2.970668E-03
2.703958E-03  -3.817972E-03  2.971404E-03
2.728978E-03  -3.821158E-03  2.972099E-03
2.754229E-03  -3.824305E-03  2.972752E-03
2.779713E-03  -3.827413E-03  2.973362E-03
2.805434E-03  -3.830479E-03  2.973929E-03
2.831392E-03  -3.833504E-03  2.974451E-03
2.857591E-03  -3.836485E-03  2.974928E-03
2.884032E-03  -3.839422E-03  2.975359E-03
2.910717E-03  -3.842314E-03  2.975743E-03
2.937650E-03  -3.845160E-03  2.976079E-03
2.964831E-03  -3.847959E-03  2.976367E-03
2.992265E-03  -3.850709E-03  2.976604E-03
3.019952E-03  -3.853409E-03  2.976792E-03
3.047895E-03  -3.856059E-03  2.976929E-03
3.076097E-03  -3.858658E-03  2.977013E-03
3.104560E-03  -3.861204E-03  2.977045E-03
3.133286E-03  -3.863696E-03  2.977024E-03
3.162278E-03  -3.866133E-03  2.976948E-03
3.191538E-03  -3.868515E-03  2.976817E-03
3.221069E-03  -3.870839E-03  2.976631E-03
3.250873E-03  -3.873106E-03  2.976389E-03
3.280953E-03  -3.875314E-03  2.976089E-03
3.311311E-03  -3.877461E-03  2.975731E-03
3.341950E-03  -3.879548E-03  2.975315E-03
3.372873E-03  -3.881572E-03  2.974840E-03
3.404082E-03  -3.883533E-03  2.974305E-03
3.435579E-03  -3.885430E-03  2.973710E-03
3.467369E-03  -3.887261E-03  2.973053E-03
3.499452E-03  -3.889026E-03  2.972335E-03
3.531832E-03  -3.890723E-03  2.971555E-03
3.564511E-03  -3.892352E-03  2.970711E-03
3.597493E-03  -3.893911E-03  2.969804E-03
3.630781E-03  -3.895399E-03  2.968834E-03
3.664376E-03  -3.896816E-03  2.967798E-03
3.698282E-03  -3.898159E-03  2.966698E-03
3.732502E-03  -3.899429E-03  2.965532E-03
3.767038E-03  -3.900624E-03  2.964300E-03
3.801894E-03  -3.901743E-03  2.963002E-03
3.837072E-03  -3.902785E-03  2.961637E-03
3.872576E-03  -3.903748E-03  2.960204E-03
3.908409E-03  -3.904633E-03  2.958704E-03
3.944573E-03  -3.905437E-03  2.957135E-03
3.981072E-03  -3.906160E-03  2.955498E-03
4.017908E-03  -3.906800E-03  2.953791E-03
4.055085E-03  -3.907358E-03  2.952008E-03
4.092607E-03  -3.907833E-03  2.950150E-03
4.130475E-03  -3.908223E-03  2.948215E-03
