NNPDF30_nlo_as_0118	1.00 GeV^2
x  xs-  delta_xs-
2.630268E-03  -4.877513E-03  6.929725E-03
2.654606E-03  -4.889484E-03  6.960728E-03
2.679168E-03  -4.901362E-03  6.991795E-03
2.703958E-03  -4.913138E-03  7.022903E-03
2.728978E-03  -4.924803E-03  7.054032E-03
2.754229E-03  -4.936348E-03  7.085159E-03
2.779713E-03  -4.947764E-03  7.116264E-03
2.805434E-03  -4.959040E-03  7.147326E-03
2.831392E-03  -4.970168E-03  7.178324E-03
2.857591E-03  -4.981138E-03  7.209240E-03
2.884032E-03  -4.991942E-03  7.240055E-03
2.910717E-03  -5.002570E-03  7.270752E-03
2.937650E-03  -5.013097E-03  7.301557E-03
2.964831E-03  -5.023668E-03  7.332886E-03
2.992265E-03  -5.034279E-03  7.364715E-03
3.019952E-03  -5.044920E-03  7.397012E-03
3.047895E-03  -5.055582E-03  7.429745E-03
3.076097E-03  -5.066258E-03  7.462884E-03
3.104560E-03  -5.076938E-03  7.496398E-03
3.133286E-03  -5.087614E-03  7.530254E-03
3.162278E-03  -5.098277E-03  7.564423E-03
3.191538E-03  -5.108919E-03  7.598871E-03
3.221069E-03  -5.119530E-03  7.633566E-03
3.250873E-03  -5.130102E-03  7.668474E-03
3.280953E-03  -5.140627E-03  7.703560E-03
3.311311E-03  -5.151096E-03  7.738787E-03
3.341950E-03  -5.161500E-03  7.774120E-03
3.372873E-03  -5.171831E-03  7.809519E-03
3.404082E-03  -5.182079E-03  7.844945E-03
3.435579E-03  -5.192237E-03  7.880357E-03
3.467369E-03  -5.202295E-03  7.915713E-03
3.499452E-03  -5.212245E-03  7.950970E-03
3.531832E-03  -5.222079E-03  7.986084E-03
3.564511E-03  -5.231787E-03  8.021010E-03
3.597493E-03  -5.241361E-03  8.055702E-03
3.630781E-03  -5.250792E-03  8.090116E-03
3.664376E-03  -5.260072E-03  8.124203E-03
3.698282E-03  -5.269192E-03  8.157917E-03
3.732502E-03  -5.278144E-03  8.191212E-03
3.767038E-03  -5.286918E-03  8.224041E-03
3.801894E-03  -5.295506E-03  8.256358E-03
3.837072E-03  -5.303900E-03  8.288118E-03
3.872576E-03  -5.312090E-03  8.319277E-03
3.908409E-03  -5.320069E-03  8.349791E-03
3.944573E-03  -5.327827E-03  8.379620E-03
3.981072E-03  -5.335355E-03  8.408724E-03
4.017908E-03  -5.342646E-03  8.437067E-03
4.055085E-03  -5.349691E-03  8.464615E-03
4.092607E-03  -5.356480E-03  8.491335E-03
4.130475E-03  -5.363005E-03  8.517201E-03
4.168694E-03  -5.369258E-03  8.542190E-03
4.207266E-03  -5.375230E-03  8.566281E-03
4.246196E-03  -5.380888E-03  8.589562E-03
4.285485E-03  -5.386046E-03  8.612842E-03
4.325138E-03  -5.390689E-03  8.636326E-03
4.365158E-03  -5.394846E-03  8.660052E-03
4.405549E-03  -5.398543E-03  8.684055E-03
4.446313E-03  -5.401810E-03  8.708369E-03
4.487454E-03  -5.404675E-03  8.733026E-03
4.528976E-03  -5.407164E-03  8.758052E-03
4.570882E-03  -5.409306E-03  8.783472E-03
4.613176E-03  -5.411130E-03  8.809303E-03
4.655861E-03  -5.412662E-03  8.835558E-03
4.698941E-03  -5.413932E-03  8.862246E-03
4.742420E-03  -5.414966E-03  8.889367E-03
4.786301E-03  -5.415794E-03  8.916917E-03
4.830588E-03  -5.416442E-03  8.944882E-03
4.875285E-03  -5.416939E-03  8.973245E-03
4.920395E-03  -5.417313E-03  9.001981E-03
4.965923E-03  -5.417592E-03  9.031056E-03
5.011872E-03  -5.417804E-03  9.060433E-03
5.058247E-03  -5.417977E-03  9.090064E-03
5.105050E-03  -5.418138E-03  9.119898E-03
5.152286E-03  -5.418316E-03  9.149877E-03
5.199960E-03  -5.418539E-03  9.179936E-03
5.248075E-03  -5.418834E-03  9.210004E-03
5.296634E-03  -5.419230E-03  9.240008E-03
5.345644E-03  -5.419755E-03  9.269866E-03
5.395106E-03  -5.420436E-03  9.299496E-03
5.445027E-03  -5.421301E-03  9.328809E-03
5.495409E-03  -5.422380E-03  9.357715E-03
5.546257E-03  -5.423698E-03  9.386120E-03
5.597576E-03  -5.425285E-03  9.413929E-03
5.649370E-03  -5.427169E-03  9.441047E-03
5.701643E-03  -5.429377E-03  9.467376E-03
5.754399E-03  -5.431937E-03  9.492822E-03
5.807644E-03  -5.434878E-03  9.517289E-03
5.861382E-03  -5.438227E-03  9.540684E-03
5.915616E-03  -5.442012E-03  9.562919E-03
5.970353E-03  -5.446261E-03  9.583906E-03
6.025596E-03  -5.451003E-03  9.603567E-03
6.081350E-03  -5.456264E-03  9.621825E-03
6.137620E-03  -5.462074E-03  9.638613E-03
6.194411E-03  -5.468392E-03  9.654324E-03
6.251727E-03  -5.475151E-03  9.669444E-03
6.309573E-03  -5.482333E-03  9.684122E-03
6.367955E-03  -5.489918E-03  9.698508E-03
6.426877E-03  -5.497886E-03  9.712749E-03
6.486344E-03  -5.506218E-03  9.726990E-03
6.546362E-03  -5.514894E-03  9.741371E-03
6.606934E-03  -5.523895E-03  9.756027E-03
6.668068E-03  -5.533201E-03  9.771088E-03
6.729767E-03  -5.542792E-03  9.786676E-03
6.792036E-03  -5.552649E-03  9.802906E-03
6.854882E-03  -5.562752E-03  9.819882E-03
6.918310E-03  -5.573083E-03  9.837701E-03
6.982324E-03  -5.583620E-03  9.856450E-03
7.046931E-03  -5.594345E-03  9.876205E-03
7.112135E-03  -5.605237E-03  9.897031E-03
7.177943E-03  -5.616278E-03  9.918982E-03
7.244360E-03  -5.627448E-03  9.942101E-03
7.311391E-03  -5.638728E-03  9.966418E-03
7.379042E-03  -5.650097E-03  9.991952E-03
7.447320E-03  -5.661536E-03  1.001871E-02
7.516229E-03  -5.673025E-03  1.004669E-02
7.585776E-03  -5.684546E-03  1.007588E-02
7.655966E-03  -5.696077E-03  1.010624E-02
7.726806E-03  -5.707601E-03  1.013775E-02
7.798301E-03  -5.719097E-03  1.017034E-02
7.870458E-03  -5.730545E-03  1.020398E-02
7.943282E-03  -5.741927E-03  1.023859E-02
8.016781E-03  -5.753222E-03  1.027409E-02
8.090959E-03  -5.764411E-03  1.031040E-02
8.165824E-03  -5.775474E-03  1.034744E-02
8.241381E-03  -5.786392E-03  1.038510E-02
8.317638E-03  -5.797145E-03  1.042330E-02
8.394600E-03  -5.807714E-03  1.046191E-02
8.472274E-03  -5.818079E-03  1.050085E-02
8.550667E-03  -5.828220E-03  1.053998E-02
8.629785E-03  -5.838118E-03  1.057922E-02
8.709636E-03  -5.847753E-03  1.061843E-02
8.790225E-03  -5.857106E-03  1.065752E-02
8.871560E-03  -5.866158E-03  1.069638E-02
8.953648E-03  -5.874977E-03  1.073512E-02
9.036495E-03  -5.883881E-03  1.077462E-02
