x	s-sbar	delta
3.4995E-03	-1.1153E-01	4.0938E-02
3.5318E-03	-1.1101E-01	4.0750E-02
3.5645E-03	-1.1050E-01	4.0563E-02
3.5975E-03	-1.1000E-01	4.0377E-02
3.6308E-03	-1.0949E-01	4.0191E-02
3.6644E-03	-1.0899E-01	4.0006E-02
3.6983E-03	-1.0849E-01	3.9822E-02
3.7325E-03	-1.0799E-01	3.9639E-02
3.7670E-03	-1.0749E-01	3.9457E-02
3.8019E-03	-1.0700E-01	3.9275E-02
3.8371E-03	-1.0650E-01	3.9095E-02
3.8726E-03	-1.0601E-01	3.8915E-02
3.9084E-03	-1.0553E-01	3.8736E-02
3.9446E-03	-1.0504E-01	3.8557E-02
3.9811E-03	-1.0456E-01	3.8380E-02
4.0179E-03	-1.0408E-01	3.8203E-02
4.0551E-03	-1.0360E-01	3.8027E-02
4.0926E-03	-1.0312E-01	3.7852E-02
4.1305E-03	-1.0264E-01	3.7678E-02
4.1687E-03	-1.0217E-01	3.7504E-02
4.2073E-03	-1.0170E-01	3.7331E-02
4.2462E-03	-1.0123E-01	3.7159E-02
4.2855E-03	-1.0076E-01	3.6988E-02
4.3251E-03	-1.0030E-01	3.6817E-02
4.3652E-03	-9.9837E-02	3.6647E-02
4.4055E-03	-9.9377E-02	3.6478E-02
4.4463E-03	-9.8918E-02	3.6310E-02
4.4875E-03	-9.8462E-02	3.6143E-02
4.5290E-03	-9.8007E-02	3.5976E-02
4.5709E-03	-9.7555E-02	3.5810E-02
4.6132E-03	-9.7105E-02	3.5644E-02
4.6559E-03	-9.6656E-02	3.5480E-02
4.6989E-03	-9.6209E-02	3.5316E-02
4.7424E-03	-9.5765E-02	3.5153E-02
4.7863E-03	-9.5322E-02	3.4990E-02
4.8306E-03	-9.4882E-02	3.4828E-02
4.8753E-03	-9.4443E-02	3.4667E-02
4.9204E-03	-9.4006E-02	3.4507E-02
4.9659E-03	-9.3571E-02	3.4347E-02
5.0119E-03	-9.3138E-02	3.4188E-02
5.0582E-03	-9.2707E-02	3.4030E-02
5.1050E-03	-9.2278E-02	3.3872E-02
5.1523E-03	-9.1850E-02	3.3716E-02
5.2000E-03	-9.1425E-02	3.3559E-02
5.2481E-03	-9.1001E-02	3.3404E-02
5.2966E-03	-9.0579E-02	3.3249E-02
5.3456E-03	-9.0159E-02	3.3095E-02
5.3951E-03	-8.9741E-02	3.2941E-02
5.4450E-03	-8.9325E-02	3.2789E-02
5.4954E-03	-8.8910E-02	3.2636E-02
5.5463E-03	-8.8498E-02	3.2485E-02
5.5976E-03	-8.8087E-02	3.2334E-02
5.6494E-03	-8.7677E-02	3.2184E-02
5.7016E-03	-8.7270E-02	3.2034E-02
5.7544E-03	-8.6864E-02	3.1885E-02
5.8076E-03	-8.6461E-02	3.1737E-02
5.8614E-03	-8.6058E-02	3.1590E-02
5.9156E-03	-8.5658E-02	3.1443E-02
5.9704E-03	-8.5259E-02	3.1296E-02
6.0256E-03	-8.4862E-02	3.1150E-02
6.0814E-03	-8.4467E-02	3.1005E-02
6.1376E-03	-8.4073E-02	3.0861E-02
6.1944E-03	-8.3681E-02	3.0717E-02
6.2517E-03	-8.3291E-02	3.0574E-02
6.3096E-03	-8.2903E-02	3.0431E-02
6.3680E-03	-8.2516E-02	3.0289E-02
6.4269E-03	-8.2130E-02	3.0148E-02
6.4863E-03	-8.1747E-02	3.0007E-02
6.5464E-03	-8.1365E-02	2.9867E-02
6.6069E-03	-8.0984E-02	2.9727E-02
6.6681E-03	-8.0606E-02	2.9588E-02
6.7298E-03	-8.0229E-02	2.9450E-02
6.7920E-03	-7.9853E-02	2.9312E-02
6.8549E-03	-7.9479E-02	2.9174E-02
6.9183E-03	-7.9107E-02	2.9038E-02
6.9823E-03	-7.8736E-02	2.8902E-02
7.0469E-03	-7.8367E-02	2.8766E-02
7.1121E-03	-7.7999E-02	2.8631E-02
7.1779E-03	-7.7633E-02	2.8497E-02
7.2444E-03	-7.7268E-02	2.8363E-02
7.3114E-03	-7.6905E-02	2.8230E-02
7.3790E-03	-7.6543E-02	2.8097E-02
7.4473E-03	-7.6183E-02	2.7965E-02
7.5162E-03	-7.5825E-02	2.7833E-02
7.5858E-03	-7.5468E-02	2.7702E-02
7.6560E-03	-7.5112E-02	2.7572E-02
7.7268E-03	-7.4758E-02	2.7442E-02
7.7983E-03	-7.4405E-02	2.7312E-02
7.8705E-03	-7.4054E-02	2.7183E-02
7.9433E-03	-7.3705E-02	2.7055E-02
8.0168E-03	-7.3356E-02	2.6927E-02
8.0910E-03	-7.3009E-02	2.6800E-02
8.1658E-03	-7.2664E-02	2.6673E-02
8.2414E-03	-7.2320E-02	2.6547E-02
8.3176E-03	-7.1977E-02	2.6421E-02
8.3946E-03	-7.1636E-02	2.6296E-02
8.4723E-03	-7.1296E-02	2.6171E-02
8.5507E-03	-7.0958E-02	2.6047E-02
8.6298E-03	-7.0621E-02	2.5923E-02
8.7096E-03	-7.0285E-02	2.5800E-02
8.7902E-03	-6.9951E-02	2.5677E-02
8.8716E-03	-6.9618E-02	2.5555E-02
8.9536E-03	-6.9286E-02	2.5433E-02
9.0365E-03	-6.8956E-02	2.5312E-02
9.1201E-03	-6.8627E-02	2.5191E-02
9.2045E-03	-6.8300E-02	2.5071E-02
9.2897E-03	-6.7973E-02	2.4951E-02
9.3756E-03	-6.7648E-02	2.4832E-02
9.4624E-03	-6.7325E-02	2.4713E-02
9.5499E-03	-6.7002E-02	2.4595E-02
9.6383E-03	-6.6681E-02	2.4477E-02
9.7275E-03	-6.6361E-02	2.4359E-02
9.8175E-03	-6.6043E-02	2.4242E-02
9.9083E-03	-6.5725E-02	2.4126E-02
1.0000E-02	-6.5409E-02	2.4010E-02
1.1984E-02	-5.9441E-02	2.1819E-02
1.3968E-02	-5.4720E-02	2.0086E-02
1.5952E-02	-5.0846E-02	1.8664E-02
1.7936E-02	-4.7576E-02	1.7464E-02
1.9920E-02	-4.4755E-02	1.6428E-02
2.1904E-02	-4.2279E-02	1.5519E-02
2.3888E-02	-4.0075E-02	1.4710E-02
2.5872E-02	-3.8090E-02	1.3982E-02
2.7856E-02	-3.6283E-02	1.3318E-02
2.9840E-02	-3.4624E-02	1.2710E-02
3.1824E-02	-3.3091E-02	1.2147E-02
3.3808E-02	-3.1664E-02	1.1623E-02
3.5792E-02	-3.0329E-02	1.1133E-02
3.7776E-02	-2.9074E-02	1.0672E-02
3.9760E-02	-2.7888E-02	1.0237E-02
4.1743E-02	-2.6763E-02	9.8239E-03
4.3727E-02	-2.5693E-02	9.4310E-03
4.5711E-02	-2.4671E-02	9.0560E-03
4.7695E-02	-2.3693E-02	8.6970E-03
4.9679E-02	-2.2754E-02	8.3525E-03
5.1663E-02	-2.1852E-02	8.0211E-03
5.3647E-02	-2.0982E-02	7.7017E-03
5.5631E-02	-2.0141E-02	7.3933E-03
5.7615E-02	-1.9329E-02	7.0950E-03
5.9599E-02	-1.8541E-02	6.8059E-03
6.1583E-02	-1.7777E-02	6.5255E-03
6.3567E-02	-1.7035E-02	6.2531E-03
6.5551E-02	-1.6314E-02	5.9882E-03
6.7535E-02	-1.5611E-02	5.7303E-03
6.9519E-02	-1.4926E-02	5.4790E-03
7.1503E-02	-1.4258E-02	5.2338E-03
7.3487E-02	-1.3606E-02	4.9945E-03
7.5471E-02	-1.2970E-02	4.7608E-03
7.7455E-02	-1.2347E-02	4.5323E-03
7.9439E-02	-1.1738E-02	4.3088E-03
8.1423E-02	-1.1142E-02	4.0900E-03
8.3407E-02	-1.0559E-02	3.8759E-03
8.5391E-02	-9.9874E-03	3.6661E-03
8.7375E-02	-9.4273E-03	3.4605E-03
8.9359E-02	-8.8782E-03	3.2589E-03
9.1343E-02	-8.3398E-03	3.0613E-03
9.3327E-02	-7.8117E-03	2.8674E-03
9.5311E-02	-7.2934E-03	2.6772E-03
9.7295E-02	-6.7849E-03	2.4905E-03
9.9279E-02	-6.2856E-03	2.3073E-03
1.0126E-01	-5.7955E-03	2.1274E-03
1.0325E-01	-5.3143E-03	1.9507E-03
