x	s-sbar	delta
1.1695E-03	-3.5012E-02	6.4095E-02
1.1803E-03	-3.4870E-02	6.3831E-02
1.1912E-03	-3.4728E-02	6.3567E-02
1.2023E-03	-3.4586E-02	6.3305E-02
1.2134E-03	-3.4446E-02	6.3044E-02
1.2246E-03	-3.4305E-02	6.2784E-02
1.2359E-03	-3.4165E-02	6.2524E-02
1.2474E-03	-3.4026E-02	6.2266E-02
1.2589E-03	-3.3888E-02	6.2010E-02
1.2706E-03	-3.3750E-02	6.1754E-02
1.2823E-03	-3.3612E-02	6.1499E-02
1.2942E-03	-3.3475E-02	6.1245E-02
1.3062E-03	-3.3339E-02	6.0992E-02
1.3183E-03	-3.3203E-02	6.0741E-02
1.3305E-03	-3.3068E-02	6.0490E-02
1.3428E-03	-3.2933E-02	6.0241E-02
1.3552E-03	-3.2799E-02	5.9992E-02
1.3677E-03	-3.2666E-02	5.9745E-02
1.3804E-03	-3.2533E-02	5.9498E-02
1.3932E-03	-3.2400E-02	5.9253E-02
1.4060E-03	-3.2268E-02	5.9009E-02
1.4191E-03	-3.2137E-02	5.8765E-02
1.4322E-03	-3.2006E-02	5.8523E-02
1.4454E-03	-3.1876E-02	5.8282E-02
1.4588E-03	-3.1746E-02	5.8041E-02
1.4723E-03	-3.1616E-02	5.7802E-02
1.4859E-03	-3.1488E-02	5.7563E-02
1.4997E-03	-3.1359E-02	5.7326E-02
1.5136E-03	-3.1232E-02	5.7090E-02
1.5276E-03	-3.1105E-02	5.6854E-02
1.5417E-03	-3.0978E-02	5.6620E-02
1.5560E-03	-3.0852E-02	5.6387E-02
1.5704E-03	-3.0726E-02	5.6154E-02
1.5849E-03	-3.0601E-02	5.5923E-02
1.5996E-03	-3.0476E-02	5.5692E-02
1.6144E-03	-3.0352E-02	5.5462E-02
1.6293E-03	-3.0229E-02	5.5234E-02
1.6444E-03	-3.0105E-02	5.5006E-02
1.6596E-03	-2.9983E-02	5.4779E-02
1.6749E-03	-2.9861E-02	5.4554E-02
1.6904E-03	-2.9739E-02	5.4329E-02
1.7061E-03	-2.9618E-02	5.4105E-02
1.7219E-03	-2.9497E-02	5.3882E-02
1.7378E-03	-2.9377E-02	5.3660E-02
1.7539E-03	-2.9258E-02	5.3439E-02
1.7701E-03	-2.9138E-02	5.3218E-02
1.7865E-03	-2.9020E-02	5.2999E-02
1.8030E-03	-2.8902E-02	5.2781E-02
1.8197E-03	-2.8784E-02	5.2563E-02
1.8365E-03	-2.8667E-02	5.2346E-02
1.8535E-03	-2.8550E-02	5.2131E-02
1.8707E-03	-2.8433E-02	5.1916E-02
1.8880E-03	-2.8318E-02	5.1702E-02
1.9055E-03	-2.8202E-02	5.1489E-02
1.9231E-03	-2.8087E-02	5.1277E-02
1.9409E-03	-2.7973E-02	5.1066E-02
1.9588E-03	-2.7859E-02	5.0855E-02
1.9770E-03	-2.7746E-02	5.0646E-02
1.9953E-03	-2.7633E-02	5.0437E-02
2.0137E-03	-2.7520E-02	5.0229E-02
2.0324E-03	-2.7408E-02	5.0022E-02
2.0512E-03	-2.7296E-02	4.9816E-02
2.0701E-03	-2.7185E-02	4.9611E-02
2.0893E-03	-2.7074E-02	4.9406E-02
2.1086E-03	-2.6964E-02	4.9203E-02
2.1281E-03	-2.6854E-02	4.9000E-02
2.1478E-03	-2.6745E-02	4.8798E-02
2.1677E-03	-2.6636E-02	4.8597E-02
2.1878E-03	-2.6527E-02	4.8397E-02
2.2080E-03	-2.6419E-02	4.8197E-02
2.2284E-03	-2.6311E-02	4.7999E-02
2.2491E-03	-2.6204E-02	4.7801E-02
2.2699E-03	-2.6097E-02	4.7604E-02
2.2909E-03	-2.5991E-02	4.7408E-02
2.3121E-03	-2.5885E-02	4.7213E-02
2.3335E-03	-2.5779E-02	4.7018E-02
2.3550E-03	-2.5674E-02	4.6824E-02
2.3768E-03	-2.5570E-02	4.6632E-02
2.3988E-03	-2.5465E-02	4.6439E-02
2.4210E-03	-2.5362E-02	4.6248E-02
2.4434E-03	-2.5258E-02	4.6058E-02
2.4660E-03	-2.5155E-02	4.5868E-02
2.4889E-03	-2.5053E-02	4.5679E-02
2.5119E-03	-2.4950E-02	4.5491E-02
2.5351E-03	-2.4849E-02	4.5303E-02
2.5586E-03	-2.4747E-02	4.5116E-02
2.5823E-03	-2.4646E-02	4.4930E-02
2.6062E-03	-2.4546E-02	4.4745E-02
2.6303E-03	-2.4446E-02	4.4561E-02
2.6546E-03	-2.4346E-02	4.4377E-02
2.6792E-03	-2.4247E-02	4.4194E-02
2.7040E-03	-2.4148E-02	4.4012E-02
2.7290E-03	-2.4049E-02	4.3831E-02
2.7542E-03	-2.3951E-02	4.3650E-02
2.7797E-03	-2.3853E-02	4.3470E-02
2.8054E-03	-2.3756E-02	4.3291E-02
2.8314E-03	-2.3659E-02	4.3113E-02
2.8576E-03	-2.3563E-02	4.2935E-02
2.8840E-03	-2.3466E-02	4.2758E-02
2.9107E-03	-2.3371E-02	4.2582E-02
2.9376E-03	-2.3275E-02	4.2406E-02
2.9648E-03	-2.3180E-02	4.2231E-02
2.9923E-03	-2.3086E-02	4.2057E-02
3.0200E-03	-2.2991E-02	4.1884E-02
3.0479E-03	-2.2897E-02	4.1711E-02
3.0761E-03	-2.2804E-02	4.1539E-02
3.1046E-03	-2.2711E-02	4.1368E-02
3.1333E-03	-2.2618E-02	4.1197E-02
3.1623E-03	-2.2526E-02	4.1027E-02
3.1915E-03	-2.2434E-02	4.0858E-02
3.2211E-03	-2.2342E-02	4.0689E-02
3.2509E-03	-2.2251E-02	4.0522E-02
3.2810E-03	-2.2160E-02	4.0354E-02
3.3113E-03	-2.2069E-02	4.0188E-02
3.3420E-03	-2.1979E-02	4.0022E-02
3.3729E-03	-2.1889E-02	3.9857E-02
3.4041E-03	-2.1799E-02	3.9692E-02
3.4356E-03	-2.1710E-02	3.9529E-02
3.4674E-03	-2.1622E-02	3.9365E-02
3.4995E-03	-2.1533E-02	3.9203E-02
3.5318E-03	-2.1445E-02	3.9041E-02
3.5645E-03	-2.1357E-02	3.8880E-02
3.5975E-03	-2.1270E-02	3.8719E-02
3.6308E-03	-2.1183E-02	3.8559E-02
3.6644E-03	-2.1096E-02	3.8400E-02
3.6983E-03	-2.1010E-02	3.8242E-02
3.7325E-03	-2.0924E-02	3.8084E-02
3.7670E-03	-2.0838E-02	3.7926E-02
3.8019E-03	-2.0753E-02	3.7770E-02
3.8371E-03	-2.0668E-02	3.7614E-02
3.8726E-03	-2.0583E-02	3.7458E-02
3.9084E-03	-2.0499E-02	3.7303E-02
3.9446E-03	-2.0415E-02	3.7149E-02
3.9811E-03	-2.0331E-02	3.6995E-02
4.0179E-03	-2.0248E-02	3.6843E-02
4.0551E-03	-2.0165E-02	3.6690E-02
4.0926E-03	-2.0082E-02	3.6538E-02
4.1305E-03	-2.0000E-02	3.6387E-02
4.1687E-03	-1.9918E-02	3.6237E-02
4.2073E-03	-1.9836E-02	3.6087E-02
4.2462E-03	-1.9754E-02	3.5937E-02
4.2855E-03	-1.9673E-02	3.5789E-02
4.3251E-03	-1.9593E-02	3.5641E-02
4.3652E-03	-1.9512E-02	3.5493E-02
4.4055E-03	-1.9432E-02	3.5346E-02
4.4463E-03	-1.9352E-02	3.5200E-02
4.4875E-03	-1.9273E-02	3.5054E-02
4.5290E-03	-1.9193E-02	3.4909E-02
4.5709E-03	-1.9115E-02	3.4764E-02
4.6132E-03	-1.9036E-02	3.4620E-02
4.6559E-03	-1.8958E-02	3.4476E-02
4.6989E-03	-1.8880E-02	3.4333E-02
4.7424E-03	-1.8802E-02	3.4191E-02
4.7863E-03	-1.8725E-02	3.4049E-02
4.8306E-03	-1.8648E-02	3.3908E-02
4.8753E-03	-1.8571E-02	3.3767E-02
4.9204E-03	-1.8494E-02	3.3627E-02
4.9659E-03	-1.8418E-02	3.3488E-02
5.0119E-03	-1.8342E-02	3.3348E-02
