Q2	Fs	dFs
4.5600E+00	3.9991E-05	1.7358E-04
4.5700E+00	3.9802E-05	1.7302E-04
4.5800E+00	3.9614E-05	1.7246E-04
4.5900E+00	3.9427E-05	1.7190E-04
4.6000E+00	3.9241E-05	1.7134E-04
4.6100E+00	3.9057E-05	1.7078E-04
4.6200E+00	3.8873E-05	1.7023E-04
4.6300E+00	3.8691E-05	1.6968E-04
4.6400E+00	3.8510E-05	1.6913E-04
4.6500E+00	3.8329E-05	1.6858E-04
4.6600E+00	3.8150E-05	1.6803E-04
4.6700E+00	3.7972E-05	1.6749E-04
4.6800E+00	3.7795E-05	1.6695E-04
4.6900E+00	3.7618E-05	1.6641E-04
4.7000E+00	3.7443E-05	1.6587E-04
4.7100E+00	3.7269E-05	1.6534E-04
4.7200E+00	3.7096E-05	1.6480E-04
4.7300E+00	3.6924E-05	1.6427E-04
4.7400E+00	3.6753E-05	1.6374E-04
4.7500E+00	3.6582E-05	1.6322E-04
4.7600E+00	3.6413E-05	1.6269E-04
4.7700E+00	3.6245E-05	1.6217E-04
4.7800E+00	3.6078E-05	1.6165E-04
4.7900E+00	3.5911E-05	1.6113E-04
4.8000E+00	3.5746E-05	1.6061E-04
4.8100E+00	3.5581E-05	1.6010E-04
4.8200E+00	3.5418E-05	1.5959E-04
4.8300E+00	3.5255E-05	1.5908E-04
4.8400E+00	3.5094E-05	1.5857E-04
4.8500E+00	3.4933E-05	1.5806E-04
4.8600E+00	3.4773E-05	1.5755E-04
4.8700E+00	3.4614E-05	1.5705E-04
4.8800E+00	3.4456E-05	1.5655E-04
4.8900E+00	3.4299E-05	1.5605E-04
4.9000E+00	3.4143E-05	1.5555E-04
4.9100E+00	3.3987E-05	1.5506E-04
4.9200E+00	3.3833E-05	1.5456E-04
4.9300E+00	3.3679E-05	1.5407E-04
4.9400E+00	3.3527E-05	1.5358E-04
4.9500E+00	3.3375E-05	1.5310E-04
4.9600E+00	3.3224E-05	1.5261E-04
4.9700E+00	3.3074E-05	1.5213E-04
4.9800E+00	3.2924E-05	1.5164E-04
4.9900E+00	3.2776E-05	1.5116E-04
5.0000E+00	3.2628E-05	1.5068E-04
5.0100E+00	3.2481E-05	1.5021E-04
5.0200E+00	3.2335E-05	1.4973E-04
5.0300E+00	3.2190E-05	1.4926E-04
5.0400E+00	3.2045E-05	1.4879E-04
5.0500E+00	3.1902E-05	1.4832E-04
5.0600E+00	3.1759E-05	1.4785E-04
5.0700E+00	3.1617E-05	1.4738E-04
5.0800E+00	3.1476E-05	1.4692E-04
5.0900E+00	3.1335E-05	1.4646E-04
5.1000E+00	3.1196E-05	1.4600E-04
5.1100E+00	3.1057E-05	1.4554E-04
5.1200E+00	3.0919E-05	1.4508E-04
5.1300E+00	3.0781E-05	1.4463E-04
5.1400E+00	3.0645E-05	1.4417E-04
5.1500E+00	3.0509E-05	1.4372E-04
5.1600E+00	3.0374E-05	1.4327E-04
5.1700E+00	3.0239E-05	1.4282E-04
5.1800E+00	3.0106E-05	1.4237E-04
5.1900E+00	2.9973E-05	1.4193E-04
5.2000E+00	2.9841E-05	1.4148E-04
5.2100E+00	2.9709E-05	1.4104E-04
5.2200E+00	2.9578E-05	1.4060E-04
5.2300E+00	2.9448E-05	1.4016E-04
