Q2	Fs	dFs
4.5100E+00	2.6369E-04	6.6986E-16
4.5200E+00	2.6218E-04	6.6611E-16
4.5300E+00	2.6068E-04	6.6233E-16
4.5400E+00	2.5918E-04	6.5861E-16
4.5500E+00	2.5770E-04	6.5486E-16
4.5600E+00	2.5622E-04	6.5118E-16
4.5700E+00	2.5475E-04	6.4751E-16
4.5800E+00	2.5329E-04	6.4385E-16
4.5900E+00	2.5184E-04	6.4022E-16
4.6000E+00	2.5040E-04	6.3662E-16
4.6100E+00	2.4897E-04	6.3303E-16
4.6200E+00	2.4755E-04	6.2946E-16
4.6300E+00	2.4613E-04	6.2593E-16
4.6400E+00	2.4473E-04	6.2243E-16
4.6500E+00	2.4333E-04	6.1890E-16
4.6600E+00	2.4194E-04	6.1541E-16
4.6700E+00	2.4056E-04	6.1196E-16
4.6800E+00	2.3919E-04	6.0854E-16
4.6900E+00	2.3783E-04	6.0512E-16
4.7000E+00	2.3647E-04	6.0172E-16
4.7100E+00	2.3513E-04	5.9835E-16
4.7200E+00	2.3379E-04	5.9499E-16
4.7300E+00	2.3246E-04	5.9166E-16
4.7400E+00	2.3114E-04	5.8835E-16
4.7500E+00	2.2982E-04	5.8506E-16
4.7600E+00	2.2852E-04	5.8177E-16
4.7700E+00	2.2722E-04	5.7853E-16
4.7800E+00	2.2593E-04	5.7529E-16
4.7900E+00	2.2465E-04	5.7208E-16
4.8000E+00	2.2338E-04	5.6888E-16
4.8100E+00	2.2211E-04	5.6572E-16
4.8200E+00	2.2085E-04	5.6256E-16
4.8300E+00	2.1960E-04	5.5943E-16
4.8400E+00	2.1836E-04	5.5631E-16
4.8500E+00	2.1713E-04	5.5322E-16
4.8600E+00	2.1590E-04	5.5012E-16
4.8700E+00	2.1468E-04	5.4706E-16
4.8800E+00	2.1346E-04	5.4403E-16
4.8900E+00	2.1226E-04	5.4100E-16
4.9000E+00	2.1106E-04	5.3800E-16
4.9100E+00	2.0987E-04	5.3500E-16
4.9200E+00	2.0869E-04	5.3203E-16
4.9300E+00	2.0751E-04	5.2909E-16
4.9400E+00	2.0634E-04	5.2616E-16
4.9500E+00	2.0518E-04	5.2323E-16
4.9600E+00	2.0403E-04	5.2033E-16
4.9700E+00	2.0288E-04	5.1745E-16
4.9800E+00	2.0174E-04	5.1459E-16
4.9900E+00	2.0060E-04	5.1175E-16
5.0000E+00	1.9948E-04	5.0892E-16
5.0100E+00	1.9836E-04	5.0611E-16
5.0200E+00	1.9724E-04	5.0332E-16
5.0300E+00	1.9614E-04	5.0052E-16
5.0400E+00	1.9504E-04	4.9777E-16
5.0500E+00	1.9394E-04	4.9503E-16
5.0600E+00	1.9286E-04	4.9229E-16
5.0700E+00	1.9178E-04	4.8957E-16
5.0800E+00	1.9070E-04	4.8689E-16
5.0900E+00	1.8964E-04	4.8421E-16
5.1000E+00	1.8858E-04	4.8153E-16
5.1100E+00	1.8752E-04	4.7890E-16
5.1200E+00	1.8648E-04	4.7625E-16
5.1300E+00	1.8543E-04	4.7364E-16
5.1400E+00	1.8440E-04	4.7105E-16
5.1500E+00	1.8337E-04	4.6845E-16
5.1600E+00	1.8235E-04	4.6588E-16
5.1700E+00	1.8133E-04	4.6333E-16
5.1800E+00	1.8032E-04	4.6078E-16
