Q2	Fs
5.5200E+00	2.3645E-05
5.5300E+00	2.3544E-05
5.5400E+00	2.3443E-05
5.5500E+00	2.3342E-05
5.5600E+00	2.3243E-05
5.5700E+00	2.3143E-05
5.5800E+00	2.3044E-05
5.5900E+00	2.2946E-05
5.6000E+00	2.2848E-05
5.6100E+00	2.2751E-05
5.6200E+00	2.2654E-05
5.6300E+00	2.2558E-05
5.6400E+00	2.2462E-05
5.6500E+00	2.2367E-05
5.6600E+00	2.2272E-05
5.6700E+00	2.2178E-05
5.6800E+00	2.2085E-05
5.6900E+00	2.1991E-05
5.7000E+00	2.1899E-05
5.7100E+00	2.1806E-05
5.7200E+00	2.1715E-05
5.7300E+00	2.1623E-05
5.7400E+00	2.1532E-05
5.7500E+00	2.1442E-05
5.7600E+00	2.1352E-05
5.7700E+00	2.1263E-05
5.7800E+00	2.1174E-05
5.7900E+00	2.1085E-05
5.8000E+00	2.0997E-05
5.8100E+00	2.0910E-05
5.8200E+00	2.0823E-05
5.8300E+00	2.0736E-05
5.8400E+00	2.0650E-05
5.8500E+00	2.0564E-05
5.8600E+00	2.0479E-05
5.8700E+00	2.0394E-05
5.8800E+00	2.0310E-05
5.8900E+00	2.0226E-05
5.9000E+00	2.0142E-05
5.9100E+00	2.0059E-05
5.9200E+00	1.9976E-05
5.9300E+00	1.9894E-05
5.9400E+00	1.9812E-05
5.9500E+00	1.9731E-05
5.9600E+00	1.9650E-05
5.9700E+00	1.9569E-05
5.9800E+00	1.9489E-05
5.9900E+00	1.9409E-05
6.0000E+00	1.9330E-05
6.0100E+00	1.9251E-05
6.0200E+00	1.9172E-05
6.0300E+00	1.9094E-05
6.0400E+00	1.9016E-05
6.0500E+00	1.8939E-05
6.0600E+00	1.8862E-05
6.0700E+00	1.8785E-05
6.0800E+00	1.8709E-05
6.0900E+00	1.8633E-05
6.1000E+00	1.8558E-05
6.1100E+00	1.8483E-05
6.1200E+00	1.8408E-05
6.1300E+00	1.8334E-05
6.1400E+00	1.8260E-05
6.1500E+00	1.8186E-05
6.1600E+00	1.8113E-05
6.1700E+00	1.8040E-05
6.1800E+00	1.7968E-05
6.1900E+00	1.7895E-05
6.2000E+00	1.7824E-05
6.2100E+00	1.7752E-05
6.2200E+00	1.7681E-05
6.2300E+00	1.7611E-05
6.2400E+00	1.7540E-05
6.2500E+00	1.7470E-05
6.2600E+00	1.7401E-05
6.2700E+00	1.7331E-05
6.2800E+00	1.7262E-05
6.2900E+00	1.7194E-05
6.3000E+00	1.7125E-05
6.3100E+00	1.7058E-05
6.3200E+00	1.6990E-05
6.3300E+00	1.6923E-05
6.3400E+00	1.6856E-05
6.3500E+00	1.6789E-05
6.3600E+00	1.6723E-05
6.3700E+00	1.6657E-05
6.3800E+00	1.6591E-05
6.3900E+00	1.6526E-05
6.4000E+00	1.6461E-05
6.4100E+00	1.6396E-05
6.4200E+00	1.6332E-05
6.4300E+00	1.6268E-05
6.4400E+00	1.6204E-05
6.4500E+00	1.6141E-05
6.4600E+00	1.6078E-05
6.4700E+00	1.6015E-05
6.4800E+00	1.5953E-05
6.4900E+00	1.5890E-05
6.5000E+00	1.5828E-05
6.5100E+00	1.5767E-05
6.5200E+00	1.5706E-05
6.5300E+00	1.5645E-05
6.5400E+00	1.5584E-05
6.5500E+00	1.5524E-05
6.5600E+00	1.5463E-05
6.5700E+00	1.5404E-05
6.5800E+00	1.5344E-05
6.5900E+00	1.5285E-05
6.6000E+00	1.5226E-05
6.6100E+00	1.5167E-05
6.6200E+00	1.5109E-05
6.6300E+00	1.5051E-05
6.6400E+00	1.4993E-05
6.6500E+00	1.4935E-05
6.6600E+00	1.4878E-05
6.6700E+00	1.4821E-05
6.6800E+00	1.4764E-05
6.6900E+00	1.4708E-05
6.7000E+00	1.4652E-05
6.7100E+00	1.4596E-05
6.7200E+00	1.4540E-05
6.7300E+00	1.4485E-05
6.7400E+00	1.4430E-05
6.7500E+00	1.4375E-05
6.7600E+00	1.4320E-05
6.7700E+00	1.4266E-05
6.7800E+00	1.4212E-05
6.7900E+00	1.4158E-05
6.8000E+00	1.4104E-05
6.8100E+00	1.4051E-05
6.8200E+00	1.3998E-05
6.8300E+00	1.3945E-05
6.8400E+00	1.3892E-05
6.8500E+00	1.3840E-05
6.8600E+00	1.3788E-05
6.8700E+00	1.3736E-05
6.8800E+00	1.3685E-05
6.8900E+00	1.3633E-05
6.9000E+00	1.3582E-05
6.9100E+00	1.3531E-05
6.9200E+00	1.3481E-05
6.9300E+00	1.3430E-05
6.9400E+00	1.3380E-05
6.9500E+00	1.3330E-05
6.9600E+00	1.3280E-05
6.9700E+00	1.3231E-05
6.9800E+00	1.3182E-05
6.9900E+00	1.3133E-05
7.0000E+00	1.3084E-05
7.0100E+00	1.3035E-05
7.0200E+00	1.2987E-05
7.0300E+00	1.2939E-05
7.0400E+00	1.2891E-05
7.0500E+00	1.2843E-05
7.0600E+00	1.2796E-05
7.0700E+00	1.2748E-05
7.0800E+00	1.2701E-05
7.0900E+00	1.2655E-05
7.1000E+00	1.2608E-05
7.1100E+00	1.2562E-05
7.1200E+00	1.2515E-05
7.1300E+00	1.2470E-05
7.1400E+00	1.2424E-05
7.1500E+00	1.2378E-05
