Q2	Fs	dFs
4.1500E+00	3.9022E-04	5.7728E-04
4.1600E+00	3.8857E-04	5.7577E-04
4.1700E+00	3.8693E-04	5.7426E-04
4.1800E+00	3.8530E-04	5.7275E-04
4.1900E+00	3.8367E-04	5.7125E-04
4.2000E+00	3.8205E-04	5.6976E-04
4.2100E+00	3.8045E-04	5.6826E-04
4.2200E+00	3.7885E-04	5.6677E-04
4.2300E+00	3.7726E-04	5.6529E-04
4.2400E+00	3.7567E-04	5.6381E-04
4.2500E+00	3.7410E-04	5.6233E-04
4.2600E+00	3.7253E-04	5.6086E-04
4.2700E+00	3.7097E-04	5.5938E-04
4.2800E+00	3.6942E-04	5.5792E-04
4.2900E+00	3.6788E-04	5.5645E-04
4.3000E+00	3.6634E-04	5.5500E-04
4.3100E+00	3.6481E-04	5.5354E-04
4.3200E+00	3.6329E-04	5.5209E-04
4.3300E+00	3.6178E-04	5.5064E-04
4.3400E+00	3.6028E-04	5.4920E-04
4.3500E+00	3.5878E-04	5.4776E-04
4.3600E+00	3.5729E-04	5.4632E-04
4.3700E+00	3.5581E-04	5.4489E-04
4.3800E+00	3.5433E-04	5.4346E-04
4.3900E+00	3.5287E-04	5.4203E-04
4.4000E+00	3.5141E-04	5.4061E-04
4.4100E+00	3.4996E-04	5.3919E-04
4.4200E+00	3.4851E-04	5.3778E-04
4.4300E+00	3.4707E-04	5.3637E-04
4.4400E+00	3.4564E-04	5.3496E-04
4.4500E+00	3.4422E-04	5.3356E-04
4.4600E+00	3.4280E-04	5.3216E-04
4.4700E+00	3.4140E-04	5.3076E-04
4.4800E+00	3.3999E-04	5.2937E-04
4.4900E+00	3.3860E-04	5.2799E-04
4.5000E+00	3.3721E-04	5.2660E-04
4.5100E+00	3.3583E-04	5.2522E-04
4.5200E+00	3.3446E-04	5.2384E-04
4.5300E+00	3.3309E-04	5.2247E-04
4.5400E+00	3.3173E-04	5.2110E-04
4.5500E+00	3.3038E-04	5.1974E-04
4.5600E+00	3.2903E-04	5.1837E-04
4.5700E+00	3.2769E-04	5.1701E-04
4.5800E+00	3.2636E-04	5.1566E-04
4.5900E+00	3.2503E-04	5.1431E-04
4.6000E+00	3.2371E-04	5.1296E-04
4.6100E+00	3.2239E-04	5.1162E-04
4.6200E+00	3.2109E-04	5.1028E-04
4.6300E+00	3.1979E-04	5.0894E-04
4.6400E+00	3.1849E-04	5.0761E-04
4.6500E+00	3.1721E-04	5.0628E-04
4.6600E+00	3.1592E-04	5.0495E-04
4.6700E+00	3.1465E-04	5.0363E-04
4.6800E+00	3.1338E-04	5.0232E-04
4.6900E+00	3.1212E-04	5.0100E-04
4.7000E+00	3.1086E-04	4.9969E-04
4.7100E+00	3.0961E-04	4.9838E-04
4.7200E+00	3.0837E-04	4.9708E-04
4.7300E+00	3.0713E-04	4.9578E-04
4.7400E+00	3.0590E-04	4.9448E-04
4.7500E+00	3.0467E-04	4.9319E-04
4.7600E+00	3.0345E-04	4.9190E-04
